stock_ticker,price_change,recommendation_id,previous_close,latest_close,sentiment_summary,timestamp,experiment_day
AAPL,-1.139959014064863,7HykXsmLo1AB6KM8TNOL,240.36000061035156,237.6199951171875,"{'negative': 152.14450000000002, 'neutral': 172.66860000000008, 'positive': 156.45360000000005}",2025-02-27T21:55:52.750002,36
TSLA,0.340125286877807,L4s6EOuW6OVSUjsE0o7Q,383.67999267578125,384.9849853515625,"{'negative': 16.4663, 'neutral': 20.3657, 'positive': 14.717499999999998}",2025-02-04T17:51:05.490197,5
NVO,-9.429851317389996,4EHoDyM2QyxlbpyNqx02,87.16999816894531,78.94999694824219,"{'negative': 151.95190000000002, 'neutral': 308.5106999999998, 'positive': 89.70349999999995}",2025-03-10T21:56:10.333186,47
NVDA,5.351873908519156,FdRUdFxdbA1sGW9FowH1,118.6500015258789,125.0,"{'negative': 21.662100000000002, 'neutral': 32.97860000000001, 'positive': 48.9108}",2025-02-05T22:07:09.482462,6
MSFT,-2.332547287295573,SZhwHkj3z04Pl9wNARA1,396.989990234375,387.7300109863281,"{'negative': 148.5409, 'neutral': 144.89160000000007, 'positive': 210.2898000000001}",2025-03-03T21:56:01.643375,40
MSFT,0.2231038724029679,Lh0kWpIDJBxB8qug7HsT,412.3699951171875,413.2900085449219,"{'negative': 23.627199999999995, 'neutral': 25.3573, 'positive': 39.338}",2025-02-05T22:05:57.546383,6
NVDA,-1.7588554465801285,21loYFcvWBhqqAWpoOsm,121.66999816894531,119.52999877929688,"{'negative': 217.9239, 'neutral': 201.86249999999993, 'positive': 248.5371999999998}",2025-03-17T21:56:06.472473,54
TSLA,-3.5797094243459178,QyS5f3MO8dByB2nBhUwd,392.2099914550781,378.1700134277344,"{'negative': 39.2826, 'neutral': 36.771800000000006, 'positive': 28.220600000000008}",2025-02-05T22:06:48.259424,6
NVDA,3.9993951415361093,n4Zccxt5qKS1WCD9YtTx,98.88999938964844,102.84500122070312,"{'negative': 390.1396000000003, 'neutral': 387.7979000000001, 'positive': 362.5720999999998}",2025-04-23T21:56:03.017967,90
AAPL,-0.7394737082000118,FwGOfdP4biYYNHzLJrF3,239.36000061035156,237.58999633789062,"{'negative': 7.588000000000001, 'neutral': 6.337, 'positive': 4.2443}",2025-01-31T12:08:35.893579,1
MSFT,-1.030646840300122,Q6rIxzKhoXYTHNtpxN50,371.6099853515625,367.7799987792969,"{'negative': 328.3092000000003, 'neutral': 337.40650000000016, 'positive': 429.1384000000008}",2025-04-17T22:05:54.533299,85
AAPL,-0.14175336199687208,T0ZB2GDRnrHFXNcuCV2o,232.8000030517578,232.47000122070312,"{'negative': 29.3903, 'neutral': 26.064799999999998, 'positive': 33.8307}",2025-02-05T22:05:50.103399,6
AAPL,-0.01481274869840317,jSnxnWVtJRqXJQ3Bd4Rh,202.52000427246094,202.49000549316406,"{'negative': 367.6651000000001, 'neutral': 375.3941000000005, 'positive': 327.6711000000002}",2025-04-15T21:55:51.114535,83
AAPL,1.5760480131362324,TXBorbmML7Yvz5mQkCSj,212.69000244140625,216.04209899902344,"{'negative': 236.91689999999986, 'neutral': 252.84640000000016, 'positive': 227.66530000000006}",2025-03-19T17:01:42.244410,56
AAPL,1.9476870855058042,uq8JFUSZKI2AWiJyMKaH,214.10000610351562,218.27000427246094,"{'negative': 259.70729999999986, 'neutral': 265.2095000000002, 'positive': 245.26280000000008}",2025-03-21T21:55:43.559665,58
NVO,-7.633586443265024,GzC4wrnIqQJahJ5b3lmC,62.880001068115234,58.08000183105469,"{'negative': 288.55220000000025, 'neutral': 556.8333999999999, 'positive': 205.20559999999998}",2025-04-18T21:56:23.322322,86
NVO,-2.4495497940721958,5iSAnLxPawn8AJvfaxVf,78.79000091552734,76.86000061035156,"{'negative': 191.98600000000005, 'neutral': 386.83430000000004, 'positive': 123.18469999999989}",2025-03-21T21:56:10.817349,58
AAPL,-7.138641029838709,IEHycb24n1nvw0pxyEjh,203.19000244140625,188.68499755859375,"{'negative': 327.65540000000004, 'neutral': 329.1583000000004, 'positive': 294.1315000000002}",2025-04-04T21:55:59.110765,72
